DATASET_ID,SUBJECT_ID,SESSION_ID,TRIAL_ID,WALKING_SPEED
1,1,1,1,1.62
1,1,1,2,1.65
1,1,1,3,1.64
1,1,1,4,1.68
1,1,1,5,1.67
1,1,1,6,1.71
1,1,1,7,1.72
1,1,1,8,1.71
1,1,1,9,1.71
1,1,1,10,1.75
1,1,1,11,1.69
1,1,1,12,1.71
1,1,1,13,1.68
1,1,1,14,1.7
1,1,1,15,1.7
1,1,2,1,1.7
1,1,2,2,1.69
1,1,2,3,1.74
1,1,2,4,1.77
1,1,2,5,1.74
1,1,2,6,1.72
1,1,2,7,1.7
1,1,2,8,1.73
1,1,2,9,1.7
1,1,2,10,1.68
1,1,2,11,1.7
1,1,2,12,1.72
1,1,2,13,1.66
1,1,2,14,1.73
1,1,2,15,1.71
1,1,3,1,1.69
1,1,3,2,1.74
1,1,3,3,1.72
1,1,3,4,1.69
1,1,3,5,1.7
1,1,3,6,1.69
1,1,3,7,1.7
1,1,3,8,1.75
1,1,3,9,1.77
1,1,3,10,1.71
1,1,3,11,1.7
1,1,3,12,1.72
1,1,3,13,1.75
1,1,3,14,1.74
1,1,3,15,1.69
1,1,4,1,1.71
1,1,4,2,1.74
1,1,4,3,1.78
1,1,4,4,1.79
1,1,4,5,1.74
1,1,4,6,1.75
1,1,4,7,1.76
1,1,4,8,1.74
1,1,4,9,1.77
1,1,4,10,1.73
1,1,4,11,1.72
1,1,4,12,1.71
1,1,4,13,1.74
1,1,4,14,1.71
1,1,4,15,1.74
1,1,5,1,1.74
1,1,5,2,1.83
1,1,5,3,1.75
1,1,5,4,1.77
1,1,5,5,1.77
1,1,5,6,1.74
1,1,5,7,1.75
1,1,5,8,1.71
1,1,5,9,1.72
1,1,5,10,1.75
1,1,5,11,1.71
1,1,5,12,1.7
1,1,5,13,1.74
1,1,5,14,1.75
1,1,5,15,1.73
1,1,6,1,1.76
1,1,6,2,1.75
1,1,6,3,1.77
1,1,6,4,1.74
1,1,6,5,1.79
1,1,6,6,1.7
1,1,6,7,1.77
1,1,6,8,1.75
1,1,6,9,1.76
1,1,6,10,1.75
1,1,6,11,1.7
1,1,6,12,1.71
1,1,6,13,1.74
1,1,6,14,1.77
1,1,6,15,1.76
1,1,7,1,1.77
1,1,7,2,1.76
1,1,7,3,1.73
1,1,7,4,1.76
1,1,7,5,1.75
1,1,7,6,1.7
1,1,7,7,1.76
1,1,7,8,1.72
1,1,7,9,1.74
1,1,7,10,1.72
1,1,7,11,1.73
1,1,7,12,1.75
1,1,7,13,1.72
1,1,7,14,1.71
1,1,7,15,1.73
1,1,8,1,1.7
1,1,8,2,1.69
1,1,8,3,1.68
1,1,8,4,1.72
1,1,8,5,1.72
1,1,8,6,1.7
1,1,8,7,1.72
1,1,8,8,1.72
1,1,8,9,1.7
1,1,8,10,1.74
1,1,8,11,1.7
1,1,8,12,1.73
1,1,8,13,1.75
1,1,8,14,1.73
1,1,8,15,1.72
1,2,9,1,1.58
1,2,9,2,1.66
1,2,9,3,1.58
1,2,9,4,1.61
1,2,9,5,1.61
1,2,9,6,1.56
1,2,9,7,1.6
1,2,9,8,1.53
1,2,9,9,1.61
1,2,9,10,1.53
1,2,9,11,1.61
1,2,9,12,1.54
1,2,9,13,1.65
1,2,9,14,1.6
1,2,9,15,1.6
1,2,10,1,1.59
1,2,10,2,1.59
1,2,10,3,1.56
1,2,10,4,1.61
1,2,10,5,1.58
1,2,10,6,1.62
1,2,10,7,1.59
1,2,10,8,1.58
1,2,10,9,1.49
1,2,10,10,1.59
1,2,10,11,1.64
1,2,10,12,1.65
1,2,10,13,1.59
1,2,10,14,1.61
1,2,10,15,1.58
1,2,11,1,1.66
1,2,11,2,1.62
1,2,11,3,1.62
1,2,11,4,1.6
1,2,11,5,1.59
1,2,11,6,1.63
1,2,11,7,1.7
1,2,11,8,1.62
1,2,11,9,1.61
1,2,11,10,1.7
1,2,11,11,1.65
1,2,11,12,1.65
1,2,11,13,1.6
1,2,11,14,1.62
1,2,11,15,1.63
1,2,12,1,1.58
1,2,12,2,1.64
1,2,12,3,1.59
1,2,12,4,1.58
1,2,12,5,1.59
1,2,12,6,1.59
1,2,12,7,1.66
1,2,12,8,1.62
1,2,12,9,1.57
1,2,12,10,1.62
1,2,12,11,1.66
1,2,12,12,1.55
1,2,12,13,1.66
1,2,12,14,1.63
1,2,12,15,1.64
1,2,13,1,1.6
1,2,13,2,1.6
1,2,13,3,1.66
1,2,13,4,1.67
1,2,13,5,1.61
1,2,13,6,1.63
1,2,13,7,1.65
1,2,13,8,1.7
1,2,13,9,1.62
1,2,13,10,1.67
1,2,13,11,1.62
1,2,13,12,1.75
1,2,13,13,1.72
1,2,13,14,1.65
1,2,13,15,1.68
1,2,13,16,1.66
1,2,14,1,1.73
1,2,14,2,1.65
1,2,14,3,1.72
1,2,14,4,1.68
1,2,14,5,1.65
1,2,14,6,1.73
1,2,14,7,1.7
1,2,14,8,1.71
1,2,14,9,1.73
1,2,14,10,1.71
1,2,14,11,1.64
1,2,14,12,1.68
1,2,14,13,1.67
1,2,14,14,1.67
1,2,14,15,1.66
1,2,15,1,1.67
1,2,15,2,1.58
1,2,15,3,1.68
1,2,15,4,1.7
1,2,15,5,1.67
1,2,15,6,1.64
1,2,15,7,1.66
1,2,15,8,1.67
1,2,15,9,1.67
1,2,15,10,1.68
1,2,15,11,1.66
1,2,15,12,1.67
1,2,15,13,1.63
1,2,15,14,1.64
1,2,15,15,1.67
1,2,16,1,1.73
1,2,16,2,1.7
1,2,16,3,1.62
1,2,16,4,1.66
1,2,16,5,1.67
1,2,16,6,1.66
1,2,16,7,1.66
1,2,16,8,1.62
1,2,16,9,1.64
1,2,16,10,1.6
1,2,16,11,1.66
1,2,16,12,1.66
1,2,16,13,1.6
1,2,16,14,1.7
1,2,16,15,1.66
1,3,17,1,1.58
1,3,17,2,1.56
1,3,17,3,1.63
1,3,17,4,1.63
1,3,17,5,1.67
1,3,17,6,1.58
1,3,17,7,1.6
1,3,17,8,1.55
1,3,17,9,1.58
1,3,17,10,1.53
1,3,17,11,1.41
1,3,17,12,1.53
1,3,17,13,1.62
1,3,17,14,1.61
1,3,17,15,1.66
1,3,18,1,1.56
1,3,18,2,1.63
1,3,18,3,1.56
1,3,18,4,1.57
1,3,18,5,1.58
1,3,18,6,1.54
1,3,18,7,1.54
1,3,18,8,1.55
1,3,18,9,1.6
1,3,18,10,1.57
1,3,18,11,1.58
1,3,18,12,1.57
1,3,18,13,1.56
1,3,18,14,1.56
1,3,18,15,1.58
1,3,19,1,1.53
1,3,19,2,1.53
1,3,19,3,1.54
1,3,19,4,1.48
1,3,19,5,1.5
1,3,19,6,1.51
1,3,19,7,1.54
1,3,19,8,1.56
1,3,19,9,1.5
1,3,19,10,1.54
1,3,19,11,1.59
1,3,19,12,1.61
1,3,19,13,1.56
1,3,19,14,1.53
1,3,19,15,1.54
1,3,20,1,1.56
1,3,20,2,1.59
1,3,20,3,1.58
1,3,20,4,1.57
1,3,20,5,1.59
1,3,20,6,1.59
1,3,20,7,1.54
1,3,20,8,1.55
1,3,20,9,1.56
1,3,20,10,1.53
1,3,20,11,1.58
1,3,20,12,1.62
1,3,20,13,1.58
1,3,20,14,1.56
1,3,20,15,1.57
1,3,21,1,1.55
1,3,21,2,1.54
1,3,21,3,1.51
1,3,21,4,1.52
1,3,21,5,1.5
1,3,21,6,1.5
1,3,21,7,1.55
1,3,21,8,1.5
1,3,21,9,1.55
1,3,21,10,1.55
1,3,21,11,1.55
1,3,21,12,1.54
1,3,21,13,1.51
1,3,21,14,1.52
1,3,21,15,1.54
1,3,22,1,1.53
1,3,22,2,1.54
1,3,22,3,1.58
1,3,22,4,1.56
1,3,22,5,1.5
1,3,22,6,1.51
1,3,22,7,1.54
1,3,22,8,1.56
1,3,22,9,1.51
1,3,22,10,1.53
1,3,22,11,1.55
1,3,22,12,1.6
1,3,22,13,1.6
1,3,22,14,1.52
1,3,22,15,1.58
1,3,23,1,1.49
1,3,23,2,1.55
1,3,23,3,1.55
1,3,23,4,1.49
1,3,23,5,1.49
1,3,23,6,1.47
1,3,23,7,1.49
1,3,23,8,1.49
1,3,23,9,1.44
1,3,23,10,1.42
1,3,23,11,1.43
1,3,23,12,1.47
1,3,23,13,1.44
1,3,23,14,1.43
1,3,23,15,1.47
1,3,24,1,1.42
1,3,24,2,1.43
1,3,24,3,1.44
1,3,24,4,1.43
1,3,24,5,1.43
1,3,24,6,1.48
1,3,24,7,1.47
1,3,24,8,1.45
1,3,24,9,1.49
1,3,24,10,1.49
1,3,24,11,1.49
1,3,24,12,1.46
1,3,24,13,1.43
1,3,24,14,1.44
1,3,24,15,1.49
1,4,25,1,1.46
1,4,25,2,1.5
1,4,25,3,1.46
1,4,25,4,1.48
1,4,25,5,1.49
1,4,25,6,1.53
1,4,25,7,1.49
1,4,25,8,1.51
1,4,25,9,1.51
1,4,25,10,1.49
1,4,25,11,1.53
1,4,25,12,1.47
1,4,25,13,1.51
1,4,25,14,1.52
1,4,25,15,1.48
1,4,25,16,1.52
1,4,26,1,1.47
1,4,26,2,1.5
1,4,26,3,1.52
1,4,26,4,1.51
1,4,26,5,1.52
1,4,26,6,1.54
1,4,26,7,1.51
1,4,26,8,1.45
1,4,26,9,1.51
1,4,26,10,1.46
1,4,26,11,1.49
1,4,26,12,1.54
1,4,26,13,1.48
1,4,26,14,1.5
1,4,26,15,1.48
1,4,27,1,1.45
1,4,27,2,1.5
1,4,27,3,1.49
1,4,27,4,1.47
1,4,27,5,1.47
1,4,27,6,1.47
1,4,27,7,1.47
1,4,27,8,1.47
1,4,27,9,1.49
1,4,27,10,1.48
1,4,27,11,1.5
1,4,27,12,1.5
1,4,27,13,1.48
1,4,27,14,1.49
1,4,27,15,1.49
1,4,28,1,1.47
1,4,28,2,1.46
1,4,28,3,1.48
1,4,28,4,1.48
1,4,28,5,1.43
1,4,28,6,1.43
1,4,28,7,1.41
1,4,28,8,1.43
1,4,28,9,1.5
1,4,28,10,1.41
1,4,28,11,1.41
1,4,28,12,1.42
1,4,28,13,1.44
1,4,28,14,1.44
1,4,28,15,1.45
1,4,29,1,1.43
1,4,29,2,1.54
1,4,29,3,1.53
1,4,29,4,1.48
1,4,29,5,1.51
1,4,29,6,1.48
1,4,29,7,1.5
1,4,29,8,1.49
1,4,29,9,1.51
1,4,29,10,1.55
1,4,29,11,1.48
1,4,29,12,1.48
1,4,29,13,1.53
1,4,29,14,1.54
1,4,29,15,1.52
1,4,30,1,1.46
1,4,30,2,1.47
1,4,30,3,1.5
1,4,30,4,1.52
1,4,30,5,1.5
1,4,30,6,1.49
1,4,30,7,1.5
1,4,30,8,1.49
1,4,30,9,1.55
1,4,30,10,1.56
1,4,30,11,1.5
1,4,30,12,1.53
1,4,30,13,1.49
1,4,30,14,1.53
1,4,30,15,1.52
1,4,31,1,1.58
1,4,31,2,1.52
1,4,31,3,1.48
1,4,31,4,1.47
1,4,31,5,1.52
1,4,31,6,1.43
1,4,31,7,1.46
1,4,31,8,1.48
1,4,31,9,1.44
1,4,31,10,1.47
1,4,31,11,1.47
1,4,31,12,1.49
1,4,31,13,1.5
1,4,31,14,1.5
1,4,31,15,1.48
1,4,32,1,1.53
1,4,32,2,1.52
1,4,32,3,1.49
1,4,32,4,1.51
1,4,32,5,1.5
1,4,32,6,1.51
1,4,32,7,1.5
1,4,32,8,1.52
1,4,32,9,1.49
1,4,32,10,1.51
1,4,32,11,1.54
1,4,32,12,1.49
1,4,32,13,1.51
1,4,32,14,1.54
1,4,32,15,1.51
1,5,33,1,1.48
1,5,33,2,1.53
1,5,33,3,1.55
1,5,33,4,1.44
1,5,33,5,1.51
1,5,33,6,1.51
1,5,33,7,1.53
1,5,33,8,1.5
1,5,33,9,1.52
1,5,33,10,1.54
1,5,33,11,1.51
1,5,33,12,1.51
1,5,33,13,1.55
1,5,33,14,1.52
1,5,33,15,1.5
1,5,34,1,1.4
1,5,34,2,1.5
1,5,34,3,1.48
1,5,34,4,1.47
1,5,34,5,1.46
1,5,34,6,1.5
1,5,34,7,1.46
1,5,34,8,1.49
1,5,34,9,1.54
1,5,34,10,1.49
1,5,34,11,1.5
1,5,34,12,1.5
1,5,34,13,1.49
1,5,34,14,1.48
1,5,34,15,1.54
1,5,35,1,1.47
1,5,35,2,1.5
1,5,35,3,1.48
1,5,35,4,1.48
1,5,35,5,1.49
1,5,35,6,1.52
1,5,35,7,1.51
1,5,35,8,1.52
